Primary Category,Secondary Category,Tertiary Category,Merchant Name,Include Regex,Exclude Regex
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,pretty\sdog,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bprettylittlething.*\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,pretty\slove,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,primness,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,princess\shighway,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bprincess\spolly\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,printed\sworkwear,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,product-category,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,providence\sclothing,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,ps\sthe\slabel,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bpuma(aust)?\b,np\s?puma|puma\s?energy|visapuma\senergy|puma\sene\srgy
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,pumpkin\spatch,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,pure\sdash,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,push\sapparel,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,qiannilimi,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bquay\saust(ralia)?\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bqueen\sbee\smaternity\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bqwerteecom\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,rachel\sdisalvo,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bralph\s?lauren\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,raw\sedge\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,red\s?bubble,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,reign\scartel,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\breview\saustralia\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\brevolve\b,revolve\s?record
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\brhodes\sbeckett\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,river\s?island,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\brock\s?wear\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,rodd.*gunn,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,rollick\sthe\slabel,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bron\s?bennett\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,rosey\sfashion,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,ruby\s&\slilli,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,ruby\sfit,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,ruck\srover,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,rue\sstiic,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,run\sfaster,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,running\sbare,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,runway\sscout,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\brvca\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,s'ephash\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sa\svela\sbikini,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsaba\b,\brestaurant\b|\bcafe\b|\btrading\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,salt\sgypsy,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,salty\sair\ssandy\stoe(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,salty\sseaweed\sshop,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,santina\snicole,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sarsparilly,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsass\sbide\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,saylor\s&\ssaige,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,scentsy,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bscotch\sand\ssoda\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sea\sof\sc\sswim,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,seafolly,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,seagulls\sof\sst\skilda,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,seed\s(\d|heritage),(australian|apricot)seed
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,shamrock\sshirt(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsheike\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sheridyn\sswim,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,shik\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,shona\sjoy,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,shop\sgoh,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,shopbop,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\b.*showpo\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,shred\slife\sgym\swear,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sick\sprints\s&\stee(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,siren\sand\smuse,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,skiva\sclothing,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,skullduggery\sclothing,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,soho\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,someplace,someplace\selse
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,somerfield\sswim,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sonsee\swoman,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bspell\sdesigns\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,splice\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sporte\sthe\slabel,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsportscraft\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsportsgirl\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sportsman\swarehouse,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bst\sfrock\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,stan's\smenswear,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,status\scollective,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,stellar\s&\sthe\schief,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,stellino\s(designs|group),
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bstelly\s?cloth,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,stevie\smay,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,store\splus\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,strandbags,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,street\sluxe,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bstussy\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,style\skeeper(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,style\sspot,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bstyletread.*\b|\bstyletread\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsubtype\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sundae\smuse,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sunkissed\sthe\scollective,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,superbrand,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsuperdry\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsupre\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsurf\sdive\b,bluewater\stackle
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,surf\smeets\ssouthwest,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsurfection\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,surfsti(t)?ch,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bsussan\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,svo\sclothing,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,sweet\scheeks\sdesign(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,switch\ssportswear,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tahitian\slime,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,talulah,talulah\sthe\sjunction
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tan\s&\stide,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btangerine\b,\bgreen\s?tangerine\b|tangerine\sbeach|the\s?tangerine\s?fox
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tangerine\sbeach,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tarocash,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bted\sbaker,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tee\sink,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btemt\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,that's\sso\sfetch,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bthe\sacademy\sbrand\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sbrave,home\s?of\s?the\s?brave\s?brew|bobby\sthe\sbrave
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\scherry\sshop,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bthe\sdaily\sedited\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sfreedom\sstate,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sgently\sunfurling\ssneak,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\shat\sstore,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\shere\safter,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\s?iconic|the-iconic,the\s?iconic\s?room|\brego\b|\bloan\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\snew\sguard,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sninety\snine,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,.*the.*outnet.*,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\speople\sv(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sspotted\squoll,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sstyle\sinsider,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sunique\syou,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\supside,\bcafe\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\sv-spot,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,the\szebra\seffect,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,three\snines\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,thrive\scollective,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tibbs\sand\sbone(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btiger\smist\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btigerlily\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btimberland\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,toby\sheart\sginger,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tommy\shil,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btop\s?(shop|man)\b|\btop\s?shopz\b|topshop,(1|one)\s?stop\s?shop
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btopman,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,trade\ssecret,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btragic\sbeautiful\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,trainers\sapparel,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\btrenery\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,true\snorth\scollective,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tuchuzy,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,tumeke\sdesign(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,turquoise\slane,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,unholy,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,union\sdesign\swear,
Shopping,Clothing & Fashion,Clothing Retailers,Uniqlo,\buniqlo\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,unit\sclothing,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,universal\sstore,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,upward\sdog,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\burban\soutfitters\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,us\ssports\sdown\sunder,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bvalleygirl\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,van\s?heusen,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,vanilla\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bvantom\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,vecta\sstore,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bveronika\smaine\b,
Shopping,Clothing & Fashion,Clothing Retailers,Shein,shein.com|sheincom|shein,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,victoria\sstation,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,viktoria\s&\swood(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,vivid\sstore,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bvolcom\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,von\szipper,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,wanted\sstreetwear,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,wayver,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bwazala\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,we-love,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,west\s14th,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,west\sbrother(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,wet\sleopard,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,whisky\srebellion\sclothing,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bwhite\sfox(\sbou)?\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,white\shaven,white haven beach
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,wiggle\s(ltd|aust),\bwiggle\sknight\b|\bwiggle\swiggle\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,willow\srose\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,wilson\sand\shunter,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,windsor\ssmith,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,wisteria\sonline,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bwitchery\b,\blunch\b|\btransfer\sto.*witchery\b|\binternet\stransfer.*witchery\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bwpn\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,xo\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\byd\sp(ty\s)?l(td)?,\bone\shot\syoga\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,yuki\sthread(s)?,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,zahari\sboutique,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bzanerobe\b|\bppzanerobe\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bzappos\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bzapposcom\b,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,\bzara\b,\bjunction\szara\b|\bmusic\b|\bunsw\b|\bhobby\b|\bdaycare\b|restaurant|electricity|zara\shome|\bdance\b|\bdancing\b|petrol|\bfuel|\blunch\b
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,ziggy\sdenim,
Shopping,Clothing & Fashion,Clothing Retailers,Clothing Retailers,zimmer.*wear|\bzimmermann\b,
Shopping,Clothing & Fashion,Clothing Retailers,Zing Retai,zing.*culture,
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,\bbell\sand\sbarnett\b,
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,costumebox,
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,costumes\scom\sau,
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,costumes|\bsuits\b|\bdress(es)?\b|\bbowtie\b|\btuxedo(s)?\b|\bblazer\b|\bdisguises?\b,\bzimmermann\b
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,heaven\scostume(s)?,
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,\bherringbone\b,
Shopping,Clothing & Fashion,Costumes & Formal Wear,Costumes & Formal Wear,\bcostume\sbox\b,
Shopping,Clothing & Fashion,Factory Outlets,Factory Outlet,factory.*outlet,
Shopping,Clothing & Fashion,Factory Outlets,Sheridan,\bsheridan\b,\bm(oun)?t\ssheridan\b
Shopping,Clothing & Fashion,Lingerie Retailers,Lingerie Retailers,\bbendon\slingerie\b,
Shopping,Clothing & Fashion,Lingerie Retailers,Lingerie Retailers,.*berleionlin\b|\bberlei\sonline\b,
Shopping,Clothing & Fashion,Lingerie Retailers,Lingerie Retailers,curvy,curvy\s?(boutique|swimwear|chic|closet)|\bdividend\b
Shopping,Clothing & Fashion,Lingerie Retailers,Lingerie Retailers,lingerie,
Shopping,Clothing & Fashion,Lingerie Retailers,Lingerie Retailers,\bvictorias\ssecret\b,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,mountainwar,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,anaconda\b,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,\bbcf(\saustraila)?\b,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,bluewater\stackle,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,\bkathmandu\b|\bkathmandupt,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,\bmacpac\b,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,\bpaddy\spallin\b,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,pool cultu,
Shopping,Clothing & Fashion,Outdoor Gear Retailers,Outdoor Gear Retailers,\bwild\searth\b,\bwild\searth\swines\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,airflex,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\baquila\b,\bl\saquila\b|\bcaffe\b|\bmining\b|\bfast\sfood\b|\brealty\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\batheletes\s?foot\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bbetts\b,\bgraham\sbetts\b|dumplings|pet\sresort|betts\sbutchery
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,betts\skid(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,big\son\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bbillini\b,\bhotel\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,carnaby\sst\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,chooze\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bclarks\sonline\b|\bclarks\sshop\b,\bclakson\b|liquor|mossimo
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\beastbay\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,easy\sstep(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,fiebiger\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bflorsheim\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bfoot\s?locker\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,frankie\s4\sfootwear,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoex\b|footwear|\bshoeboxdeal\b|\bshoe(s)?\b,\bshoe\s?repair(s)?\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,hush\spuppie(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Hype Store,hype\sdc,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bjulius\smarlow\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,kustom\s?(foot|shoe),
Shopping,Clothing & Fashion,Shoe Stores,Lipstik,lipstik,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bmerrell\b,\bloan\b|electricity|\brent\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bnew\s?balance\b,
Shopping,Clothing & Fashion,Shoe Stores,Next Store,next\spair,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bnine west\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bnovo\b,pension|car|indooroop|\bbar\b|\bcafe\b|\bhotel\b|\bnovo\snordisk|\bdisability\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,planet\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bplatypus\b,\bplatypus\sjunction\b|\bplatypus\sjunction\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\broger\sdavid\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\brubi\b,\bhair\b|\blandscape\b
Shopping,Clothing & Fashion,Shoe Stores,Sandler,sandler,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bsenso\b,\bhair\b|espresso
Shopping,Clothing & Fashion,Shoe Stores,Shoe Store,shoe\swarehouse,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoealicious\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoebox\b,\bcafe(s)?\b|\bshoebox\saction\b|\bdonation\b|\brent\b
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoebuycom\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoehouse\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoemen\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoeologist\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoeology\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,shoes\s&\ssox,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoes\sof\spray\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoewarehou,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoeworks\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bshoezamm\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,shubar\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,siren\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Sketchers,ske(t)?che,bathroom|\bmag\b
Shopping,Clothing & Fashion,Shoe Stores,Sole Store,sole\sfiness,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,sole\ssister\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,spend-less\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,step\s?on\s?up,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bthe\sathletes\sfoot\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,the\sboot\swarehouse,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\btony\sbianco\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,tuk\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,\bugg(\ssydney)?\b,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,verali\sshoe(s)?,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,walnut\smelbourne,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,wanted\s?shoe,
Shopping,Clothing & Fashion,Shoe Stores,Shoe Stores,wittner|\bwittner\b,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Amart,\bamart\b,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Decathlon,\bdecathlon\b,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Sporting Goods Retailers,\bdharma\sbums\b,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Sporting Goods Retailers,soccershopcom|\bgolf(ing)?\b.*shop|golf\s?mart|tennis\s?warehouse|surf\s?shop|soccershopcom,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Sporting Goods Retailers,gym\sand\sfitness,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Sporting Goods Retailers,iron\stank(s)?,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Jdsports,jdsports,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Sporting Goods Retailers,jim\skidd\ssport,
Shopping,Clothing & Fashion,Sporting Goods Retailers,Sporting Goods Retailers,\bkulani\skinis\b,
